"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO54","Norte de Santander",1,12.1672503008424,8.02664741275572,12.0853035860409,7.74210827918171,49785,43,71,21,347,83,NA,NA
"CO","Colombia","CO54","Norte de Santander",4,13.7941189473684,9.1602347368421,13.2118667789474,8.25297115789474,56702,43,71,21,347,83,0.0932176163292817,0.0659849824222587
"CO","Colombia","CO86","Putumayo",1,8.80687665198238,3.20052422907489,8.80687665198238,3.20052422907489,3207,4,1,1,192,11,NA,NA
"CO","Colombia","CO86","Putumayo",4,7.99013225806452,4.49062903225806,7.46422787096774,3.99244335483871,4815,4,1,1,192,11,-0.152454591346231,0.247434191739496
"CO","Colombia","CO63","Quindio",1,11.3243505154639,3.44052749140893,11.2484117525773,3.39370312714777,29664,88,18,11,116,47,NA,NA
"CO","Colombia","CO63","Quindio",4,11.1297522796353,3.31034042553192,11.0226479027356,3.31034042553192,35250,88,18,11,116,47,-0.0200707313003571,-0.0245639345849068
"CO","Colombia","CO66","Risaralda",1,13.1496606683805,5.10449485861183,12.9665295115681,5.08914966580977,63707,10,18,9,172,40,NA,NA
"CO","Colombia","CO66","Risaralda",4,13.3489031141869,5.01859054209919,13.306426343714,5.01859054209919,78752,10,18,9,172,40,0.0262134005743475,-0.0138646195030597
"CO","Colombia","CO68","Santander",1,12.6721450719823,8.01947895902547,11.9916884385382,7.29263513842746,104194,54,21,32,855,118,NA,NA
"CO","Colombia","CO68","Santander",4,11.4350031531532,7.23391171171171,11.2238093513514,7.00636854054054,151872,54,21,32,855,118,-0.0640342760006245,-0.0392542054350812
"CO","Colombia","CO70","Sucre",1,9.30384432717678,4.92374406332454,9.24587240105541,4.79328084432718,12173,42,25,14,64,20,NA,NA
"CO","Colombia","CO70","Sucre",4,10.3901459227468,4.88785836909871,10.3901459227468,4.88785836909871,16216,42,25,14,64,20,0.123760470841102,0.0197312713031341
"CO","Colombia","CO73","Tolima",1,10.6443073286052,6.50312056737589,10.3700105910165,6.11627919621749,44475,33,18,22,509,78,NA,NA
"CO","Colombia","CO73","Tolima",4,10.5887763636364,6.27046909090909,10.4710162909091,6.0889522,53893,33,18,22,509,78,0.00974017326270071,-0.00446791183672479
"CO","Colombia","CO76","Valle del Cauca",1,11.4378822542771,6.30949077490775,11.2914944515263,6.06759496142234,239622,54,68,51,464,483,NA,NA
"CO","Colombia","CO76","Valle del Cauca",4,11.768792997543,6.9000687960688,11.5399901965602,6.43402749385749,290833,54,68,51,464,483,0.0220073388957183,0.0603917260075737
"CO","Colombia","CO97","Vaupes",1,22.9585,27.362,22.9585,27.362,5,0,1,0,12,1,NA,NA
"CO","Colombia","CO99","Vichada",1,2.45963636363636,1.42804545454545,2.45963636363636,1.42804545454545,206,1,1,0,18,3,NA,NA
"CO","Colombia","CO99","Vichada",4,0.917,0.9012,0.917,0.9012,27,1,1,0,18,3,-0.627180662329982,-0.368927650635007
