"ADM0_PC","ADM0_ES","ADM1_PC","ADM1_ES","ADM2_PC","ADM2_ES","trimester","avg_d_mbps","avg_u_mbps","avg_d_mbps_winsorized","avg_u_mbps_winsorized","tests","college","clinic","university","school","hospital","avg_d_mbps_change","avg_u_mbps_change"
"CO","Colombia","CO66","Risaralda","CO66594","Quinchia",4,6.32656666666667,5.08053333333333,6.32656666666667,5.08053333333333,583,0,0,0,0,0,-0.0635863532081803,-0.173740275933104
"CO","Colombia","CO66","Risaralda","CO66682","Santa Rosa de Cabal",1,8.92225,3.29859090909091,8.92225,3.28641159090909,3973,0,0,0,33,3,NA,NA
"CO","Colombia","CO66","Risaralda","CO66682","Santa Rosa de Cabal",4,11.3740392156863,4.16096078431373,11.3740392156863,4.16096078431373,4823,0,0,0,33,3,0.274794946979324,0.266110670928688
"CO","Colombia","CO66","Risaralda","CO66687","Santuario",1,7.6822,5.5029,7.6822,5.5029,410,0,0,0,2,1,NA,NA
"CO","Colombia","CO66","Risaralda","CO66687","Santuario",4,5.87383333333333,2.92458333333333,5.87383333333333,2.92458333333333,339,0,0,0,2,1,-0.235396978296148,-0.468537801280537
"CO","Colombia","CO68","Santander","CO68001","Bucaramanga",1,21.5243028571429,12.1419657142857,21.3378532571429,12.0903612571429,38663,35,10,14,32,11,NA,NA
"CO","Colombia","CO68","Santander","CO68001","Bucaramanga",4,22.5903201970443,13.4107832512315,22.198676453202,13.24787408867,50967,35,10,14,32,11,0.0403425398837136,0.0957384818293372
"CO","Colombia","CO68","Santander","CO68013","Aguada",4,4.512,5.03,4.512,5.03,1,0,0,0,1,0,NA,NA
"CO","Colombia","CO68","Santander","CO68020","Albania",4,0.7785,1.4545,0.7785,1.4545,15,0,0,0,3,1,NA,NA
"CO","Colombia","CO68","Santander","CO68051","Aratoca",1,11.0056363636364,10.1070909090909,11.0056363636364,10.1070909090909,173,0,0,0,21,2,NA,NA
"CO","Colombia","CO68","Santander","CO68051","Aratoca",4,13.4793703703704,16.0131851851852,13.0383081481482,14.5938392592593,130,0,0,0,21,2,0.184693707601309,0.443920846317184
"CO","Colombia","CO68","Santander","CO68077","Barbosa",1,6.87821621621622,4.44551351351351,6.87821621621622,4.44551351351351,484,0,0,1,13,2,NA,NA
"CO","Colombia","CO68","Santander","CO68077","Barbosa",4,5.60280392156863,3.85986274509804,5.60280392156863,3.85986274509804,946,0,0,1,13,2,-0.18542777001407,-0.131739734146619
"CO","Colombia","CO68","Santander","CO68079","Barichara",1,7.74609302325581,4.57586046511628,7.74609302325581,4.57586046511628,521,0,0,0,5,1,NA,NA
"CO","Colombia","CO68","Santander","CO68079","Barichara",4,5.25630612244898,4.58404081632653,5.25630612244898,4.57982081632653,1130,0,0,0,5,1,-0.321424864551954,0.00086548775698958
"CO","Colombia","CO68","Santander","CO68081","Barrancabermeja",1,18.9185740740741,12.0461851851852,13.5099807407407,6.27279481481482,12086,5,0,4,22,9,NA,NA
"CO","Colombia","CO68","Santander","CO68081","Barrancabermeja",4,13.0386728395062,5.74443209876543,12.3051479012346,4.9540362962963,17479,5,0,4,22,9,-0.0891809442683273,-0.210234601553351
"CO","Colombia","CO68","Santander","CO68092","Betulia",1,7.5375,4.465625,7.5375,4.465625,31,0,0,0,4,1,NA,NA
